"pid","class","prob1","prob2","prob3","prob4"
2,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
3,3,3.74269411566288e-23,1.35661063429461e-09,0.874585789911205,0.125414208732185
4,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
5,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
6,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
7,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
8,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
9,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
10,1,0.766105011663171,0.233894641807793,3.46529036386271e-07,1.52763806636342e-19
11,3,1.71537124432788e-19,7.28320830592461e-07,0.996743948829551,0.00325532284961881
12,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
13,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
14,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
15,3,8.00138394520075e-16,1.35709422254002e-05,0.999833161600312,0.000153267457461406
16,3,1.90144079573189e-12,0.00163398530019648,0.99836044284553,5.57185237251664e-06
17,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
18,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
19,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
20,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
21,2,0.0754071097706036,0.924108890843419,0.000483999385964483,1.24679861224645e-14
23,1,0.99997630336182,2.36966381677454e-05,1.23585339481551e-14,3.63034554318555e-27
24,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
25,1,0.999998071825911,1.92817408947876e-06,1.55848398484294e-20,1.28403012460419e-38
